Week,Topic,Reading,Additional Material
,9. Matrix algebra,"9. An Introduction to R, section 8.",9. matrixReview.Rmd (R markdown file used to create webpage examples)
,,"10. R for Beginners, section 4.",10. matrixReview.html (R examples in webpage created with R markdown - best viewed in Chrome)
,,,11. Working with time series data in R
4 & 5,"1. Descriptive statistics: histograms, sample means, variances, covariances and autocorrelations","1. Ruppert, chapter 4 (Exploratory Data Analysis), 
chapter 5 sections 9 and 10 (maximum likelihood estimation), 
chapter 6 (Resampling),Appendix (sections 11, 16 - 18)",1. descriptiveStatistics.r (R code for book chapter examples)
,2. The constant expected return model.,"2. EZ, chapter 5 (descriptive statistics for financial data), 
chapter 6 (constant expected return model) , 
chapter 7 (estimation of the CER model), 
chapter 8 (bootstrapping), 
chapter 9 (hypothesis testing in the CER model)",2. descriptiveStatisticDaily.r
,3. Monte Carlo simulation,"3. EZ, class slides on descriptive statistics.",3. descriptiveStatistics.Rmd (R markdown file used to create webpage examples)
,4. Standard errors of estimates,"4. EZ, class slides on CER model.",4. descriptiveStatistics.html (R examples in webpage created with R markdown)
,5. Confidence intervals,"5. EZ, class slides on bootstrapping",5. cerModel.r (R code for book chapter examples)
,6. Bootstrapping standard errors and confidence intervals,"6. EZ, class slides on hypothesis testing in the CER model.",6. cerModel.Rmd (R markdown file used to create webpage examples)
,7. Hypothesis testing ,"7. EZ, class slides on maximum likelihood estimation. Note: will not cover this material this term.",7. cerModel.html (R examples in webpage created with R markdown - best viewed in Chrome)
,8. Midterm exam:,"8. Bootstrap Methods and Permutation Tests, by Tim Hesterberg. Read sections 1 - 5.",8. cerModelEstimation.r (R code for book chapter examples)
,9. Midterm solutions,"9. R Cookbook, chapter 9 (General Statistics) chapter 10 (Graphics), 
chapter 13 (Beyond Basic Numerics and Statistics, section 8 on Bootstrapping).",9. cerModelEstimation.Rmd (R markdown file used to create webpage examples)
,10. Grade distribution econ 424,"10. An Introduction to R, section 12.",10. cerModelEstimation.html (R examples in webpage created with R markdown - best viewed in Chrome)
,,,11. bootstrap.Rmd (R markdown file used to create webpage examples)
,,,12. bootstrap.html (R examples in webpage created with R markdown - best viewed in Chrome)
,,,13. bootStrap.r (R code examples)
,,,14. rollingCerModel.Rmd (R markdown file used to create webpage examples)
,,,15. rollingCerModel.html (R examples in webpage created with R markdown - best viewed in Chrome)
,,,16. hypothesisTestingCER.r
,,,17. hypothesisTestingCerModel.Rmd (R markdown file used to create webpage examples)
,,,18. hypothesisTestingCerModel.html (R examples in webpage created with R markdown - best viewed in Chrome)
,,,19. maximumLikelihood.r
,,,20. maxLike R package vignette.
6 & 7,1. Introduction to portfolio theory,"1. Ruppert, chapter 11 (Portfolio Theory).",1. introPortfolioTheory.xls
,2. Optimization,"2. EZ, chapter 10 (introduction to portfolio theory), and chapter 11 (portfolio theory with matrix algebra)",2. 3firmExample.xls
,3. Markowitz algorithm,3. Notes on using Excel's solver.,3. introductionToPortfolioTheory.r
,4. Markowitz algorithm using the solver and matrix algebra,"4. EZ, class slides on Introduction to Portfolio Theory.",4. introductionToPortfolioTheory.Rmd (R markdown file used to create webpage examples)
,5. Markowitz algorithm with no short sales constraints,"5. EZ, class slides on portfolio theory with matrix algebra.",5. introductionToPortfolioTheory.html (R examples in webpage created with R markdown - best viewed in Chrome)
,,"6. R Cookbook, chapter 13 (Beyond Basin Numerics and Statistics, sections 1 - 2)",6. portfolioTheoryMatrix.r
,,"7. *EG, chapters 5 and 6",7. portfolioTheoryMatrix.Rmd ( R markdown file used to create webpage examples)
,,,8. portfolioTheoryMatrix.html ( R examples in webpage created with R markdown - best viewed in Chrome)
8 & 9,1. Portfolio risk budgeting,"1. Ruppert, chapter 12 (Regression: Basics), 
chapter 13 (Regression: Troubleshooting), chapter 16 (CAPM)",1. portfolioTheoryNoShortSales.r
,2. Statistical Analysis of Efficient Portfolios,"2. EZ, chapter 12 (portfolio risk budgeting), 
chapter 13 (statistical analysis of portfolios), 
and chapter 14 (single index model)",2. portfolioTheoryNoShorts.html (R examples in webpage created with R markdown - best viewed in Chrome)
,3. Beta as a measure of portfolio risk,"3. EZ, class slides on portfolio theory with no short sales.",3. portfolioTheoryNoShorts.Rmd (R markdown file used to create webpage examples)
,,4. EZ class slides on statistical properties of efficient portfolios.,4. statisticalAnalysisPortfolios.Rmd (R markdown file used to create webpage examples)
,,"5. EZ, class slides on portfolio risk budgeting",5. statisticalAnalysisPortfolios.html (R examples in webpage created with R markdown - best viewed in Chrome)
,,"6. R Cookbook, chapter 11 (Linear Regression and ANOVA)",6. riskBudgeting.Rmd (R markdown file used to create webpage examples)
,,"7. *EG, chapters 6, 7 and 9",7. riskBudgeting.html (R examples in webpage created with R markdown - best viewed in Chrome)
,,,8. rollingPortfolios.r
,,,9. bootstrapPortfolio.R
,,,10. singleIndex.r
,,,"11. singleIndexPrices.xls (added May 22, 2006)"
,,,12. testCAPM.r
10,1. The Single Index Model,"1. EZ, chapter 14 (single index model) and chapter 15 (CAPM)",
,2. Estimating the Single Index Model using simple linear regression ,2. EZ class slides on the single index model.,
,3. Capital Asset Pricing Model (CAPM),3. EZ class slides on estimating single index model using regression.,
,,4. EZ class slides on the Capital Asset Pricing Model,
